feature,importance,permuted_mae,baseline_sample_mae
distance,1564.0030878388952,1709.8541887096512,145.85110087075597
equipment,54.101629189832124,199.9527300605881,145.85110087075597
haversine_distance,44.225060542097765,190.07616141285374,145.85110087075597
quote_signal,31.006448875666763,176.85754974642273,145.85110087075597
weight,9.713037909248072,155.56413878000404,145.85110087075597
midpoint_latitude,2.800228389991645,148.65132926074762,145.85110087075597
market_index,2.01541773103898,147.86651860179495,145.85110087075597
bearing_sin,0.559657493822499,146.41075836457847,145.85110087075597
pickup_lat,0.5238614370306891,146.37496230778666,145.85110087075597
bearing_cos,0.3401959762494755,146.19129684700545,145.85110087075597
distance_band,0.23982402128399372,146.09092489203996,145.85110087075597
pickup_lon,0.22968486465725846,146.08078573541323,145.85110087075597
longitude_difference,0.19303347387563008,146.0441343446316,145.85110087075597
latitude_difference,0.15632660715274938,146.00742747790872,145.85110087075597
delivery_lat,0.08601059350488072,145.93711146426085,145.85110087075597
distance_haversine_ratio,0.061495334045019945,145.912596204801,145.85110087075597
market_index_missing,0.0,145.85110087075597,145.85110087075597
weight_missing,0.0,145.85110087075597,145.85110087075597
weight_sign_corrected,0.0,145.85110087075597,145.85110087075597
delivery_lon,-0.149431093277002,145.70166977747897,145.85110087075597
absolute_latitude_difference,-0.43118022433702663,145.41992064641894,145.85110087075597
midpoint_longitude,-1.2324492590533112,144.61865161170266,145.85110087075597
absolute_longitude_difference,-2.9077997670584637,142.9433011036975,145.85110087075597
distance_haversine_difference,-5.060419779448949,140.79068109130702,145.85110087075597
