pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,815.7389717103166
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,820.3391032458622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,832.0901659756698
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,834.6628342823672
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,831.5929723988467
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,823.3621267802874
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,818.941696353056
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,819.1121770094455
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,825.7618285828149
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,832.533124325719
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,836.1468029700214
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,832.4507401154958
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,824.2198944969366
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,819.163366664607
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,819.6529347328052
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,826.3025863061748
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,833.6407428682863
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,837.2544215125889
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,833.5583586580633
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,825.3247266997786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,819.8652523316002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,820.3589219191216
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,826.7381255053549
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,833.8084335181712
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,837.507412648332
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,834.0776617252484
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,825.6820829453935
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,822.3887732838064
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,823.538384568455
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,828.6408147527918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,835.3092703457463
